id,en,yo,ig,pg,category,difficulty,tags,notes_yo,notes_ig,notes_pg,synonyms_yo,synonyms_ig,synonyms_pg
60,annoy,Binú,Kpasuo iwe,Vex person,polite,1,,,,,,,
61,another,Òmíràn,Ọzọ,Another one,greetings,1,,,,,,,
62,answer,Ìdáhùn,Azịza,Answer,family,1,,,,,,,
63,ant,Erè,Ɔkwa,Ant,food,1,,,,,,,
64,anxious,Dàníjú,Nchegbu,Fear,school,1,,,,,,,
65,any,Ẹnikẹ́ni,Ọ bụla,Any,numbers,1,,,,,,,
66,apart,Ya sọtọ̀,Iche iche,Separate,colors,1,,,,,,,
67,apology,Ìtọrọ̀ àforíjìn,Mgbaghara,Sorry,actions,1,,,,,,,
68,appear,Hàn,Pụta,Show,travel,1,,,,,,,
69,apple,Ẹ̀so apple,Apụl,Apple,health,1,,,,,,,
70,apply,Wúlò,Tinye,Use am,polite,1,,,,,,,
71,appoint,Yàn,Họpụta,Choose,greetings,1,,,,,,,
72,approve,Jẹ́wọ́,Kwado,Okay am,family,1,,,,,,,
73,arch,Àkọmọ,Ụzọ mbata,Arch,food,1,,,,,,,
74,area,Agbegbe,Mpaghara,Area,school,1,,,,,,,
75,argue,Jíyàn,Arụ ụka,Argue,numbers,1,,,,,,,
76,arm,Apá,Ogwe aka,Hand,colors,1,,,,,,,
77,army,Ọmọ ogun,Ndị agha,Soldiers,actions,1,,,,,,,
78,around,Yíka,Gburugburu,Round about,travel,1,,,,,,,
79,arrange,Ṣètò,Hazie,Arrange am,health,1,,,,,,,
80,arrest,Dìmú,Jide,Catch,polite,1,,,,,,,
81,arrive,Dé,Bịa,Reach,greetings,1,,,,,,,
82,arrow,Ofà,Ụta,Arrow,family,1,,,,,,,
83,art,Ọnà,Nkà,Art,food,1,,,,,,,
84,as,Bí,Dị ka,As,school,1,,,,,,,
85,ash,Eérú,Ntu,Ash,numbers,1,,,,,,,
86,ask,Bèèrè,Jụọ,Ask,colors,1,,,,,,,
87,asleep,Sùn,Na-ehi ụra,Sleep,actions,1,,,,,,,
88,assist,Ràn lọ́wọ́,Nyere aka,Help,travel,1,,,,,,,
89,at,Ní,Na,For,health,1,,,,,,,
90,attack,Kọlu,Mwakpo,Attack,polite,1,,,,,,,
91,attempt,Gbìyànjú,Mgbalị,Try,greetings,1,,,,,,,
92,attend,Kẹ́yìn,Gaa,Go,family,1,,,,,,,
93,attract,Fà,Dọta,Pull,food,1,,,,,,,
94,aunt,Ẹ̀gbọ́n,Nwanne nne,Aunty,school,1,,,,,,,
95,author,Onkọwe,Onye odee,Person wey write am,numbers,1,,,,,,,
96,autumn,Ìgbà ìwọ́wé,Ụbịa,Rainy season,colors,1,,,,,,,
97,avoid,Yẹra,Zere,Run from,actions,1,,,,,,,
98,awake,Jí,Mụ anya,Wake up,travel,1,,,,,,,
99,away,Sítè,Pụọ,Far,health,1,,,,,,,
100,awful,Burú,Jọgburu onwe ya,Bad well-well,polite,1,,,,,,,
101,baby,Ọmọ oṣùwọ̀n,Nwa ọhụrụ,Pikin,greetings,1,,,,,,,
102,back,Ẹ̀yìn,Azụ,Back,family,1,,,,,,,
103,bad,Burú,Ọjọọ,Bad,food,1,,,,,,,
104,bag,Àpò,Akpa,Bag,school,1,,,,,,,
105,bake,Yan,Ghee achịcha,Bake,numbers,1,,,,,,,
106,balance,Ìwọntunwọ̀nsi,Nha nhata,Balance,colors,1,,,,,,,
107,ball,Bọ́ọ̀lù,Bọọlụ,Ball,actions,1,,,,,,,
108,banana,Ọ̀gẹ̀dẹ̀,Unere,Banana,travel,1,,,,,,,
109,band,Ẹgbẹ́,Ìgwè,Group,health,1,,,,,,,
110,bank,Ìfipamọ́,Ụlọ akụ,Bank,polite,1,,,,,,,
111,bar,Ìdínà,Ogwe,Bar,greetings,1,,,,,,,
112,bare,Fẹ́lẹ́,Gba ọtọ,Naked,family,1,,,,,,,
113,bargain,Sòwò,Azụ ahịa,Bargain,food,1,,,,,,,
114,bark,gbọ́ (aja),Ugbo (nke nkịta),Woof (dog),school,1,,,,,,,
115,base,Ipilẹ̀,Ntọala,Bottom,numbers,1,,,,,,,
116,basket,Agbọ̀n,Nkata,Basket,colors,1,,,,,,,
117,bat,Adán,Ụsụ,Bat,actions,1,,,,,,,
118,bath,Ìwẹ̀,Ịsa ahụ,Bath,travel,1,,,,,,,
119,battle,Ìjà,Agha,War,health,1,,,,,,,
120,be,"(Copula: jẹ́, wà)",Bụrụ,Be,polite,1,,,,,,,
121,beach,Etíkun,Ụsọ mmiri,Beach,greetings,1,,,,,,,
122,bean,Ẹ̀wà,Agwa,Beans,family,1,,,,,,,
123,bear (carry),Gbé,Buru,Carry,food,1,,,,,,,
124,bear (animal),Ẹranko bear,Anụ ọhịa bea,Bear,school,1,,,,,,,
125,beat,Lu,Tie,Beat,numbers,1,,,,,,,
126,beautiful,Ẹwà,Mma,Fine,colors,1,,,,,,,
127,because,Nítorí,N'ihi,Because,actions,1,,,,,,,
128,become,Di,Ghọọ,Become,travel,1,,,,,,,
129,bed,Ibùsùn,Akwa,Bed,health,1,,,,,,,
130,bee,Oyìn,Aṅụ,Bee,polite,1,,,,,,,
131,before,Ṣáájú,Tupu,Before,greetings,1,,,,,,,
132,beg,Tọrọ,Rịọ,Beg,family,1,,,,,,,
133,begin,Bẹ̀rẹ̀,Malite,Start,food,1,,,,,,,
134,behave,Hùwà,Mee omume,Behave,school,1,,,,,,,
135,behind,Ẹ̀yìn,N'azụ,For back,numbers,1,,,,,,,
136,believe,Gbà gbọ́,Kwere,Believe,colors,1,,,,,,,
137,bell,Ago,Mgbịrịgba,Bell,actions,1,,,,,,,
138,below,Lábẹ́,N'okpuru,Down,travel,1,,,,,,,
139,belt,Bèltì,Eriri,Belt,health,1,,,,,,,
140,bend,Tẹ,Ehulata,Bend,polite,1,,,,,,,
141,beneath,Lábẹ́,N'okpuru,Under,greetings,1,,,,,,,
142,berry,Ẹso,Mkpụrụ osisi,Small fruit,family,1,,,,,,,
143,beside,Lẹ́bàá,N'akụkụ,For side,food,1,,,,,,,
144,best,Dídára jù,Kachasị mma,The best,school,1,,,,,,,
145,betray,Ṣẹlẹ̀si,Rara nye,Sell person,numbers,1,,,,,,,
146,between,Láàárín,N'etiti,For middle,colors,1,,,,,,,
147,big,Nlá,Nnukwu,Big,actions,1,,,,,,,
148,bird,Ẹyẹ,Nnụnụ,Bird,travel,1,,,,,,,
149,birth,Ìbí,Ọmụmụ,Born,health,1,,,,,,,
150,bit,Díẹ̀,Obere,Small-small,polite,1,,,,,,,
151,bite,Gún,Ata,Bite,greetings,1,,,,,,,
152,bitter,Kórò,Ilu,Bitter,family,1,,,,,,,
153,black,Dúdú,Ojii,Black,food,1,,,,,,,
154,blame,Fi ẹ̀sùn sí,Ụta,Blame,school,1,,,,,,,
155,blank,Ofifo,Oghere,Empty,numbers,1,,,,,,,
156,bleed,Ṣan ẹ̀jẹ̀,Ọbara,Blood dey come out,colors,1,,,,,,,
157,blind,Afọ́,Ìsì,Blind,actions,1,,,,,,,
158,block,Dè,Gbochie,Block,travel,1,,,,,,,
159,blood,Ẹ̀jẹ̀,Ọbara,Blood,health,1,,,,,,,
160,blow,fẹ́,Fụọ,Blow,polite,1,,,,,,,
161,blue,Bulu,Anụnụ,Blue,greetings,1,,,,,,,
162,board,Pátákó,Mbadamba,Wood,family,1,,,,,,,
163,boat,Ọkọ̀ ojú omi,Ụgbọ mmiri,Boat,food,1,,,,,,,
164,body,Ara,Ahụ,Body,school,1,,,,,,,
165,boil,Hihó,Esie,Boil,numbers,1,,,,,,,
166,bone,Egungun,Ọkpụkpụ,Bone,colors,1,,,,,,,
167,book,Ìwé,Akwụkwọ,Book,actions,1,,,,,,,
168,border,Ààlà,Ókè,Border,travel,1,,,,,,,
169,born,Bí,A mụrụ,Born,health,1,,,,,,,
170,borrow,Yá,Gbaziri,Borrow,polite,1,,,,,,,
171,both,Méjèèjì,Ha abụọ,The two,greetings,1,,,,,,,
172,bottle,Igó,Kalama,Bottle,family,1,,,,,,,
173,bottom,Isalẹ̀,Ala,Bottom,food,1,,,,,,,
174,bowl,Ifọ́,Efere,Bowl,school,1,,,,,,,
175,box,Àpótí,Igbe,Box,numbers,1,,,,,,,
176,boy,Ọkùnrin ọ̀dọ́,Nwa nwoke,Boy,colors,1,,,,,,,
177,branch,Ẹ̀ka,Alaka,Branch,actions,1,,,,,,,
178,brave,Akọni,Obi ike,No dey fear,travel,1,,,,,,,
179,bread,Búrẹ́di,Achịcha,Bread,health,1,,,,,,,
180,break,Fọ,Agbaji,Break,polite,1,,,,,,,
181,breakfast,Ìrẹsún,Nri ụtụtụ,Morning food,greetings,2,,,,,,,
182,breath,Ẹ̀mí,Ume,Breath,family,2,,,,,,,
183,bribe,Ẹ̀bùn ìtẹ́lọ́rùn,Ngarị,Bribe,food,2,,,,,,,
184,bridge,Afárá,Àkwà mmiri,Bridge,school,2,,,,,,,
185,bright,Imólẹ̀,Na-egbuke egbuke,Bright,numbers,2,,,,,,,
186,bring,Mú wá,Weta,Bring,colors,2,,,,,,,
187,broad,Fẹrẹ,Sárá,Wide,actions,2,,,,,,,
188,brother,Ẹ̀gbọ́n,Nwanne nwoke,Brother,travel,2,,,,,,,
189,brown,Búrọ́nù,Agba aja aja,Brown,health,2,,,,,,,
190,brush,Brọ́ọ̀si,Ahịhịa,Brush,polite,2,,,,,,,
191,build,Kọ́,Wuo,Build,greetings,2,,,,,,,
192,burn,Jóná,Ọkụ,Burn,family,2,,,,,,,
193,burst,Fọ́,Gbawa,Burst,food,2,,,,,,,
194,bury,Sin,Lie,Bury,school,2,,,,,,,
195,bus,Bọ́ọ̀sì,Ụgbọ ala,Bus,numbers,2,,,,,,,
196,bush,Igbo,Ọhịa,Bush,colors,2,,,,,,,
197,business,Iṣẹ́ owo,Azụmahịa,Business,actions,2,,,,,,,
198,busy,Ṣiṣẹ́,Ọrụ,Dey busy,travel,2,,,,,,,
199,but,Ṣugbọn,Ma,But,health,2,,,,,,,
200,butter,Bọ́tà,Bọta,Butter,polite,2,,,,,,,
201,buy,Ra,Zụrụ,Buy,greetings,2,,,,,,,
202,by,Fún,Site n'aka,By,family,2,,,,,,,
203,cake,Kéèkì,Achicha,Cake,food,2,,,,,,,
204,call,Pè,Kpọọ,Call,school,2,,,,,,,
205,calm,Ìtura,Dị jụụ,Calm,numbers,2,,,,,,,
206,camel,Rákunmi,Kamel,Camel,colors,2,,,,,,,
207,camera,Kámẹ́rà,Igwefoto,Camera,actions,2,,,,,,,
208,camp,Agọ,Ogige,Camp,travel,2,,,,,,,
209,can (be able),Lè,Nwere ike,Fit,health,2,,,,,,,
210,can (tin),Àga,Mkpọ,Tin,polite,2,,,,,,,
211,cancel,Fagilẹ,Kagbuo,Cancel,greetings,2,,,,,,,
212,candle,Abẹ́là,Kandụl,Candle,family,2,,,,,,,
213,cap,Fìlà,Okpu,Cap,food,2,,,,,,,
214,car,Ọkọ̀ ayọ́kẹ́lẹ́,Ụgbọ ala,Motor,school,2,,,,,,,
215,card,Káàdì,Kaadị,Card,numbers,2,,,,,,,
216,care,Ìtọ́jú,Nlekọta,Care,colors,2,,,,,,,
217,careful,Fara balẹ̀,Kpachara anya,Look well,actions,2,,,,,,,
218,carry,Gbé,Buru,Carry,travel,2,,,,,,,
219,cart,Ọkọ̀ ìkẹ́rẹ,Ụgbọ ịnyịnya,Cart,health,2,,,,,,,
220,case,Ọ̀ràn,Ihe,Case,polite,2,,,,,,,
221,cat,Ọlọ́gọ̀n,Pusi,Cat,greetings,2,,,,,,,
222,catch,Mú,Jide,Catch,family,2,,,,,,,
223,cause,Fà,Ihe kpatara,Cause,food,2,,,,,,,
224,cave,Iho apata,Ọgba,Cave,school,2,,,,,,,
225,celebrate,Ṣe ayẹyẹ,Ememe,Celebrate,numbers,2,,,,,,,
226,center,Arín,Etiti,Center,colors,2,,,,,,,
227,century,Ọ̀rúndún,Narị afọ,Hundred years,actions,2,,,,,,,
228,certain,Dájú,Ihe doro anya,Sure,travel,2,,,,,,,
229,chain,Ṣẹ̀kẹ̀,Agbụ,Chain,health,2,,,,,,,
230,chair,Àga,Oche,Chair,polite,2,,,,,,,
231,chance,Anfaani,Ohere,Chance,greetings,2,,,,,,,
232,change,Yípadà,Gbanwee,Change,family,2,,,,,,,
233,charge,Gbèsè,Ụgwọ,Charge,food,2,,,,,,,
234,chase,Lè lé,Chụọ,Chase,school,2,,,,,,,
235,cheap,Wúwo,Ọnụ ala,Cheap,numbers,2,,,,,,,
236,cheat,Jẹ́bú,Wayo,Cheat,colors,2,,,,,,,
237,check,Ṣàyẹ̀wò,Lelee,Check,actions,2,,,,,,,
238,cheer,Dùn,Ọṅụ,Happy,travel,2,,,,,,,
239,cheese,Wàrà,Chiiz,Cheese,health,2,,,,,,,
240,chief,Ọba,Onyeisi,Oga,polite,2,,,,,,,
241,child,Ọmọ,Nwa,Pikin,greetings,2,,,,,,,
242,choose,Yàn,Họrọ,Choose,family,2,,,,,,,
243,church,Ṣọ́ọ̀ṣì,Ụka,Church,food,2,,,,,,,
244,circle,Obìrìkiti,Gburugburu,Circle,school,2,,,,,,,
245,city,Ìlú,Obodo,City,numbers,2,,,,,,,
246,claim,Beere,Azọrọ,Claim,colors,2,,,,,,,
247,clap,Pàṣẹ,Kụọ aka,Clap,actions,2,,,,,,,
248,class,Ẹ̀ka,Klasị,Class,travel,2,,,,,,,
249,clean,Mọ́,Dị ọcha,Clean,health,2,,,,,,,
250,clear,Fẹ́,Doro anya,Clear,polite,2,,,,,,,
251,climb,Gùn,Rịgoro,Climb,greetings,2,,,,,,,
252,clock,Aago,Elekere,Clock,family,2,,,,,,,
253,close,Pẹ̀,Mechie,Close,food,2,,,,,,,
254,cloth,Aṣọ,Akwa,Cloth,school,2,,,,,,,
255,cloud,Òkurù,Urukpuru,Cloud,numbers,2,,,,,,,
256,club,Kúlúbù,Ụlọ egwuregwu,Club,colors,2,,,,,,,
257,coach,Akóni,Onye nchịkwa,Coach,actions,2,,,,,,,
258,coal,Edu,Coal,Coal,travel,2,,,,,,,
259,coast,Etíkun,Ụsọ oké osimiri,Coast,health,2,,,,,,,
260,coat,Kóòtù,Uwe elu,Coat,polite,2,,,,,,,
261,coffee,Kọfí,Kọfị,Coffee,greetings,2,,,,,,,
262,coin,Owó wúrà,Mkpụrụ ego,Coin,family,2,,,,,,,
263,cold,Tutù,Oyi,Cold,food,2,,,,,,,
264,collar,Kọ́lá,Olu,Collar,school,2,,,,,,,
265,collect,Kójọ,Kpokọta,Gather,numbers,2,,,,,,,
266,colony,Agbègbè,Ógbè,Colony,colors,2,,,,,,,
267,color,Àwọ̀,Agba,Color,actions,2,,,,,,,
268,comb,Ìyẹ̀,Igbo,Comb,travel,2,,,,,,,
269,come,Wá,Bịa,Come,health,2,,,,,,,
270,comfort,Itunu,Nkasi obi,Comfort,polite,2,,,,,,,
271,command,Àṣẹ,Iwu,Command,greetings,2,,,,,,,
272,common,Wọ́pọ̀,Nkịtị,Common,family,2,,,,,,,
273,company,Ilé iṣẹ́,Ụlọ ọrụ,Company,food,2,,,,,,,
274,compare,Fíwé,Tulee,Compare,school,2,,,,,,,
275,compete,Díje,Zọọ asọmpi,Compete,numbers,2,,,,,,,
276,complain,Kọ̀,Mkpesa,Complain,colors,2,,,,,,,
277,complete,Pípé,Zum,Finish,actions,2,,,,,,,
278,condition,Ọ̀nà,Ọnọdụ,Condition,travel,2,,,,,,,
279,confess,Jẹ́wọ́,Kwupụta,Confess,health,2,,,,,,,
280,confuse,Ṣòkùnkùn,Gbagwoju anya,Confuse,polite,2,,,,,,,
281,congratulate,Kí,Kelee,Congratulate,greetings,2,,,,,,,
282,connect,Sọ pọ̀,Jikọọ,Connect,family,2,,,,,,,
283,consider,Rònú,Tụlee,Think about am,food,2,,,,,,,
284,contain,Lọ́nà,Nwere,Get inside,school,2,,,,,,,
285,continue,Tẹ̀síwájú,Gaa n'ihu,Continue,numbers,2,,,,,,,
286,control,Ṣàkóso,Chịkwaa,Control,colors,2,,,,,,,
287,cook,Dín,Esie nri,Cook,actions,2,,,,,,,
288,cool,Tutù,Jụụ,Cool,travel,2,,,,,,,
289,copper,Bàbà,Ọla kọpa,Copper,health,2,,,,,,,
290,copy,Kọ́kọ́,Detuo,Copy,polite,2,,,,,,,
291,corn,Àgbàdo,Ọka,Corn,greetings,2,,,,,,,
292,corner,Igun,Nkuku,Corner,family,2,,,,,,,
293,correct,Tọ́,Ziri ezi,Correct,food,2,,,,,,,
294,cost,Iye owó,Ọnụ ahịa,Cost,school,2,,,,,,,
295,cotton,Owu,Owu,Cotton,numbers,2,,,,,,,
296,cough,Ikọ́,Ụkwara,Cough,colors,2,,,,,,,
297,count,Ka,Gụọ,Count,actions,2,,,,,,,
298,country,Orílẹ̀-èdè,Obodo,Country,travel,2,,,,,,,
299,courage,Igboya,Obi ike,Strong heart,health,2,,,,,,,
300,course,Ìlànà,Ụzọ,Course,polite,2,,,,,,,
301,court,Ẹ̀kọ̀,Ụlọ ikpe,Court,greetings,2,,,,,,,
302,cover,Ìdérí,Mkpuchi,Cover,family,2,,,,,,,
303,cow,Màálúù,Ehi,Cow,food,2,,,,,,,
304,crash,Fọ́,Okuku,Crash,school,2,,,,,,,
305,crazy,Wèrè,Ara,Crazy,numbers,2,,,,,,,
306,cream,Kírììmù,Ude,Cream,colors,2,,,,,,,
307,create,Ṣẹ̀dá,Kere,Create,actions,2,,,,,,,
308,creep,Rín,Mpụ,Crawl,travel,2,,,,,,,
309,crime,Ẹ̀ṣẹ̀,Mpụ,Crime,health,2,,,,,,,
310,cross,Kọja,Gafee,Cross,polite,2,,,,,,,
311,crowd,Ìjọ ènìyàn,Ìgwè mmadụ,Crowd,greetings,2,,,,,,,
312,cruel,Aláilẹ́ṣẹ́,Obi ọjọọ,Wicked,family,2,,,,,,,
313,crush,Rẹ,Pịa,Crush,food,2,,,,,,,
314,cry,Kẹ́,Be ákwá,Cry,school,2,,,,,,,
315,cup,Ife,Iko,Cup,numbers,2,,,,,,,
316,cure,Wo,Gwọọ,Cure,colors,2,,,,,,,
317,curl,Tẹ,Gbagọrọ agbagọ,Curl,actions,2,,,,,,,
318,curse,Èpè,Ọbụbụ ọnụ,Curse,travel,2,,,,,,,
319,curtain,Àṣìkò,ákwà mgbochi,Curtain,health,2,,,,,,,
320,curve,Tẹ̀,Gbagọrọ agbagọ,Bend,polite,2,,,,,,,
321,custom,Àṣà,Omenala,Custom,greetings,2,,,,,,,
322,cut,Gé,Bee,Cut,family,2,,,,,,,
323,damage,Bàjẹ́,Mmebi,Spoil,food,2,,,,,,,
324,damp,Rẹ́rẹ́,Mmiri mmiri,Damp,school,2,,,,,,,
325,dance,Jó,Gbaa egwu,Dance,numbers,2,,,,,,,
326,danger,Ewu,Ihe egwu,Danger,colors,2,,,,,,,
327,dare,Dáyè,Nwaa,Dare,actions,2,,,,,,,
328,dark,Dúdú,Ọchịchịrị,Dark,travel,2,,,,,,,
329,date (fruit),Dáàtì,Mkpụrụ date,Date,health,2,,,,,,,
330,date (day),Ọjọ́,Ụbọchị,Date,polite,2,,,,,,,
331,daughter,Ọmọbìnrin,Nwa nwanyị,Girl pikin,greetings,2,,,,,,,
332,day,Ọjọ́,Ụbọchị,Day,family,2,,,,,,,
333,dead,Kú,Nwụrụ anwụ,Don die,food,2,,,,,,,
334,deaf,Etí,Ntị chiri,Deaf,school,2,,,,,,,
335,deal,Jáde,Azụmahịa,Deal,numbers,2,,,,,,,
336,dear,Olólùfẹ,Ezigbo,My dear,colors,2,,,,,,,
337,death,Ikú,Ọnwụ,Death,actions,2,,,,,,,
338,debt,Gbèsè,Ụgwọ,Debt,travel,2,,,,,,,
339,decide,Pinnu,Kpebie,Decide,health,2,,,,,,,
340,declare,Jẹ́rìí,Kwupụta,Declare,polite,2,,,,,,,
341,decorate,Ṣe ohun òṣè,Chọọ mma,Decorate,greetings,2,,,,,,,
342,deep,Jin,Omimi,Deep,family,2,,,,,,,
343,defeat,Borí,Merie,Beat am,food,2,,,,,,,
344,defend,Dabobo,Chebe,Defend,school,2,,,,,,,
345,delay,Dì,Gbuo oge,Delay,numbers,2,,,,,,,
346,delicate,Lílẹ,Siri ezigbo ike,Delicate,colors,2,,,,,,,
347,deliver,Entrust,Nyefee,Deliver,actions,2,,,,,,,
348,demand,Beere,Achọ,Demand,travel,2,,,,,,,
349,dentist,Oníṣègùn eyín,Dọkịta ezé,Teeth doctor,health,2,,,,,,,
350,deny,Sẹ́,Gọnarị,Deny,polite,2,,,,,,,
351,depart,Lọ,Pụọ,Leave,greetings,2,,,,,,,
352,depend,Gbẹ́kẹ̀lé,Dabere,Depend,family,2,,,,,,,
353,depth,Ìjìnlẹ̀,Omimi,Depth,food,2,,,,,,,
354,describe,Ṣàpèjúwe,Kọwaa,Describe,school,2,,,,,,,
355,desert,Aginjù,Ọzara,Desert,numbers,2,,,,,,,
356,deserve,Yẹ,Kwesịrị,Deserve,colors,2,,,,,,,
357,desire,Fẹ́,Ọchịchọ,Want well-well,actions,2,,,,,,,
358,desk,Tábìlì,Tebụl,Desk,travel,2,,,,,,,
359,destroy,Parun,Bibie,Destroy,health,2,,,,,,,
360,detail,Ìṣọ̀rí,Nkọwa,Detail,polite,2,,,,,,,
361,develop,Ṣe agbekale,Mepe emepe,Develop,greetings,3,,,,,,,
362,devil,Èṣù,Ekwensu,Devil,family,3,,,,,,,
363,diamond,Dájímọ̀ndì,diamond,Diamond,food,3,,,,,,,
364,die,Kú,Nwụọ,Die,school,3,,,,,,,
365,differ,Yatọ̀,Dị iche,Different,numbers,3,,,,,,,
366,difficult,Ṣòro,Ihe siri ike,Hard,colors,3,,,,,,,
367,dig,Gbẹ,Gwuo,Dig,actions,3,,,,,,,
368,dinner,Onje alẹ,Nri abalị,Night food,travel,3,,,,,,,
369,direct,Tọ,Duzie,Direct,health,3,,,,,,,
370,dirt,Idọ́tí,Unyi,Dirty,polite,3,,,,,,,
371,disagree,Yàtọ̀,Ekwekọrịtaghị,No agree,greetings,3,,,,,,,
372,disappear,Parẹ,Funahụ,Disappear,family,3,,,,,,,
373,discover,Ṣàwárí,Chọpụta,Find out,food,3,,,,,,,
374,discuss,Jíròrò,Kparịta ụka,Discuss,school,3,,,,,,,
375,disease,Àrùn,Ọrịa,Sickness,numbers,3,,,,,,,
376,disgust,Ìkórìíra,Ịkpọasị,Disgust,colors,3,,,,,,,
377,dish,Awo,Efere nri,Plate,actions,3,,,,,,,
378,dismiss,Kúrò,Chụọ,Sack,travel,3,,,,,,,
379,display,Fihàn,Gosi,Show,health,3,,,,,,,
380,distance,Ìjìnnà,Ebe dị anya,Far place,polite,3,,,,,,,
381,ditch,Iho,Olulu mmiri,Ditch,greetings,3,,,,,,,
382,dive,Wẹ́,Mikpuo mmiri,Dive,family,3,,,,,,,
383,divide,Pin,Kewaa,Share,food,3,,,,,,,
384,do,Ṣe,Mee,Do,school,3,,,,,,,
385,doctor,Dókítà,Dọkịta,Doctor,numbers,3,,,,,,,
386,dog,Ajá,Nkịta,Dog,colors,3,,,,,,,
387,door,Ilẹ̀kùn,Ọnụ ụzọ,Door,actions,3,,,,,,,
388,double,Ìlọ́pọ̀ méjì,Ugboro abụọ,Double,travel,3,,,,,,,
