id,en,yo,category,difficulty,tags,notes_yo
74,word_74,,school,1,,
75,word_75,,numbers,1,,
76,word_76,,colors,1,,
77,word_77,,actions,1,,
78,word_78,,travel,1,,
79,word_79,,health,1,,
80,word_80,,polite,1,,
81,word_81,,greetings,1,,
82,word_82,,family,1,,
83,word_83,,food,1,,
84,word_84,,school,1,,
85,word_85,,numbers,1,,
86,word_86,,colors,1,,
87,word_87,,actions,1,,
88,word_88,,travel,1,,
89,word_89,,health,1,,
90,word_90,,polite,1,,
91,word_91,,greetings,1,,
92,word_92,,family,1,,
93,word_93,,food,1,,
94,word_94,,school,1,,
95,word_95,,numbers,1,,
96,word_96,,colors,1,,
97,word_97,,actions,1,,
98,word_98,,travel,1,,
99,word_99,,health,1,,
100,word_100,,polite,1,,
101,word_101,,greetings,1,,
102,word_102,,family,1,,
103,word_103,,food,1,,
104,word_104,,school,1,,
105,word_105,,numbers,1,,
106,word_106,,colors,1,,
107,word_107,,actions,1,,
108,word_108,,travel,1,,
109,word_109,,health,1,,
110,word_110,,polite,1,,
111,word_111,,greetings,1,,
112,word_112,,family,1,,
113,word_113,,food,1,,
114,word_114,,school,1,,
115,word_115,,numbers,1,,
116,word_116,,colors,1,,
117,word_117,,actions,1,,
118,word_118,,travel,1,,
119,word_119,,health,1,,
120,word_120,,polite,1,,
121,word_121,,greetings,1,,
122,word_122,,family,1,,
123,word_123,,food,1,,
124,word_124,,school,1,,
125,word_125,,numbers,1,,
126,word_126,,colors,1,,
127,word_127,,actions,1,,
128,word_128,,travel,1,,
129,word_129,,health,1,,
130,word_130,,polite,1,,
131,word_131,,greetings,1,,
132,word_132,,family,1,,
133,word_133,,food,1,,
134,word_134,,school,1,,
135,word_135,,numbers,1,,
136,word_136,,colors,1,,
137,word_137,,actions,1,,
138,word_138,,travel,1,,
139,word_139,,health,1,,
140,word_140,,polite,1,,
141,word_141,,greetings,1,,
142,word_142,,family,1,,
143,word_143,,food,1,,
144,word_144,,school,1,,
145,word_145,,numbers,1,,
146,word_146,,colors,1,,
147,word_147,,actions,1,,
148,word_148,,travel,1,,
149,word_149,,health,1,,
150,word_150,,polite,1,,
151,word_151,,greetings,1,,
152,word_152,,family,1,,
153,word_153,,food,1,,
154,word_154,,school,1,,
155,word_155,,numbers,1,,
156,word_156,,colors,1,,
157,word_157,,actions,1,,
158,word_158,,travel,1,,
159,word_159,,health,1,,
160,word_160,,polite,1,,
161,word_161,,greetings,1,,
162,word_162,,family,1,,
163,word_163,,food,1,,
164,word_164,,school,1,,
165,word_165,,numbers,1,,
166,word_166,,colors,1,,
167,word_167,,actions,1,,
168,word_168,,travel,1,,
169,word_169,,health,1,,
170,word_170,,polite,1,,
171,word_171,,greetings,1,,
172,word_172,,family,1,,
173,word_173,,food,1,,
174,word_174,,school,1,,
175,word_175,,numbers,1,,
176,word_176,,colors,1,,
177,word_177,,actions,1,,
178,word_178,,travel,1,,
179,word_179,,health,1,,
180,word_180,,polite,1,,
181,word_181,,greetings,2,,
182,word_182,,family,2,,
183,word_183,,food,2,,
184,word_184,,school,2,,
185,word_185,,numbers,2,,
186,word_186,,colors,2,,
187,word_187,,actions,2,,
188,word_188,,travel,2,,
189,word_189,,health,2,,
190,word_190,,polite,2,,
191,word_191,,greetings,2,,
192,word_192,,family,2,,
193,word_193,,food,2,,
194,word_194,,school,2,,
195,word_195,,numbers,2,,
196,word_196,,colors,2,,
197,word_197,,actions,2,,
198,word_198,,travel,2,,
199,word_199,,health,2,,
200,word_200,,polite,2,,
201,word_201,,greetings,2,,
202,word_202,,family,2,,
203,word_203,,food,2,,
204,word_204,,school,2,,
205,word_205,,numbers,2,,
206,word_206,,colors,2,,
207,word_207,,actions,2,,
208,word_208,,travel,2,,
209,word_209,,health,2,,
210,word_210,,polite,2,,
211,word_211,,greetings,2,,
212,word_212,,family,2,,
213,word_213,,food,2,,
214,word_214,,school,2,,
215,word_215,,numbers,2,,
216,word_216,,colors,2,,
217,word_217,,actions,2,,
218,word_218,,travel,2,,
219,word_219,,health,2,,
220,word_220,,polite,2,,
221,word_221,,greetings,2,,
222,word_222,,family,2,,
223,word_223,,food,2,,
224,word_224,,school,2,,
225,word_225,,numbers,2,,
226,word_226,,colors,2,,
227,word_227,,actions,2,,
228,word_228,,travel,2,,
229,word_229,,health,2,,
230,word_230,,polite,2,,
231,word_231,,greetings,2,,
232,word_232,,family,2,,
233,word_233,,food,2,,
234,word_234,,school,2,,
235,word_235,,numbers,2,,
236,word_236,,colors,2,,
237,word_237,,actions,2,,
238,word_238,,travel,2,,
239,word_239,,health,2,,
240,word_240,,polite,2,,
241,word_241,,greetings,2,,
242,word_242,,family,2,,
243,word_243,,food,2,,
244,word_244,,school,2,,
245,word_245,,numbers,2,,
246,word_246,,colors,2,,
247,word_247,,actions,2,,
248,word_248,,travel,2,,
249,word_249,,health,2,,
250,word_250,,polite,2,,
251,word_251,,greetings,2,,
252,word_252,,family,2,,
253,word_253,,food,2,,
254,word_254,,school,2,,
255,word_255,,numbers,2,,
256,word_256,,colors,2,,
257,word_257,,actions,2,,
258,word_258,,travel,2,,
259,word_259,,health,2,,
260,word_260,,polite,2,,
261,word_261,,greetings,2,,
262,word_262,,family,2,,
263,word_263,,food,2,,
264,word_264,,school,2,,
265,word_265,,numbers,2,,
266,word_266,,colors,2,,
267,word_267,,actions,2,,
268,word_268,,travel,2,,
269,word_269,,health,2,,
270,word_270,,polite,2,,
271,word_271,,greetings,2,,
272,word_272,,family,2,,
273,word_273,,food,2,,
274,word_274,,school,2,,
275,word_275,,numbers,2,,
276,word_276,,colors,2,,
277,word_277,,actions,2,,
278,word_278,,travel,2,,
279,word_279,,health,2,,
280,word_280,,polite,2,,
281,word_281,,greetings,2,,
282,word_282,,family,2,,
283,word_283,,food,2,,
284,word_284,,school,2,,
285,word_285,,numbers,2,,
286,word_286,,colors,2,,
287,word_287,,actions,2,,
288,word_288,,travel,2,,
289,word_289,,health,2,,
290,word_290,,polite,2,,
291,word_291,,greetings,2,,
292,word_292,,family,2,,
293,word_293,,food,2,,
294,word_294,,school,2,,
295,word_295,,numbers,2,,
296,word_296,,colors,2,,
297,word_297,,actions,2,,
298,word_298,,travel,2,,
299,word_299,,health,2,,
300,word_300,,polite,2,,
301,word_301,,greetings,2,,
302,word_302,,family,2,,
303,word_303,,food,2,,
304,word_304,,school,2,,
305,word_305,,numbers,2,,
306,word_306,,colors,2,,
307,word_307,,actions,2,,
308,word_308,,travel,2,,
309,word_309,,health,2,,
310,word_310,,polite,2,,
311,word_311,,greetings,2,,
312,word_312,,family,2,,
313,word_313,,food,2,,
314,word_314,,school,2,,
315,word_315,,numbers,2,,
316,word_316,,colors,2,,
317,word_317,,actions,2,,
318,word_318,,travel,2,,
319,word_319,,health,2,,
320,word_320,,polite,2,,
321,word_321,,greetings,2,,
322,word_322,,family,2,,
323,word_323,,food,2,,
324,word_324,,school,2,,
325,word_325,,numbers,2,,
326,word_326,,colors,2,,
327,word_327,,actions,2,,
328,word_328,,travel,2,,
329,word_329,,health,2,,
330,word_330,,polite,2,,
331,word_331,,greetings,2,,
332,word_332,,family,2,,
333,word_333,,food,2,,
334,word_334,,school,2,,
335,word_335,,numbers,2,,
336,word_336,,colors,2,,
337,word_337,,actions,2,,
338,word_338,,travel,2,,
339,word_339,,health,2,,
340,word_340,,polite,2,,
341,word_341,,greetings,2,,
342,word_342,,family,2,,
343,word_343,,food,2,,
344,word_344,,school,2,,
345,word_345,,numbers,2,,
346,word_346,,colors,2,,
347,word_347,,actions,2,,
348,word_348,,travel,2,,
349,word_349,,health,2,,
350,word_350,,polite,2,,
351,word_351,,greetings,2,,
352,word_352,,family,2,,
353,word_353,,food,2,,
354,word_354,,school,2,,
355,word_355,,numbers,2,,
356,word_356,,colors,2,,
357,word_357,,actions,2,,
358,word_358,,travel,2,,
359,word_359,,health,2,,
360,word_360,,polite,2,,
361,word_361,,greetings,3,,
362,word_362,,family,3,,
363,word_363,,food,3,,
364,word_364,,school,3,,
365,word_365,,numbers,3,,
366,word_366,,colors,3,,
367,word_367,,actions,3,,
368,word_368,,travel,3,,
369,word_369,,health,3,,
370,word_370,,polite,3,,
371,word_371,,greetings,3,,
372,word_372,,family,3,,
373,word_373,,food,3,,
374,word_374,,school,3,,
375,word_375,,numbers,3,,
376,word_376,,colors,3,,
377,word_377,,actions,3,,
378,word_378,,travel,3,,
379,word_379,,health,3,,
380,word_380,,polite,3,,
381,word_381,,greetings,3,,
382,word_382,,family,3,,
383,word_383,,food,3,,
384,word_384,,school,3,,
385,word_385,,numbers,3,,
386,word_386,,colors,3,,
387,word_387,,actions,3,,
388,word_388,,travel,3,,
389,word_389,,health,3,,
390,word_390,,polite,3,,
391,word_391,,greetings,3,,
392,word_392,,family,3,,
393,word_393,,food,3,,
394,word_394,,school,3,,
395,word_395,,numbers,3,,
396,word_396,,colors,3,,
397,word_397,,actions,3,,
398,word_398,,travel,3,,
399,word_399,,health,3,,
400,word_400,,polite,3,,
401,word_401,,greetings,3,,
402,word_402,,family,3,,
403,word_403,,food,3,,
404,word_404,,school,3,,
405,word_405,,numbers,3,,
406,word_406,,colors,3,,
407,word_407,,actions,3,,
408,word_408,,travel,3,,
409,word_409,,health,3,,
410,word_410,,polite,3,,
411,word_411,,greetings,3,,
412,word_412,,family,3,,
413,word_413,,food,3,,
414,word_414,,school,3,,
415,word_415,,numbers,3,,
416,word_416,,colors,3,,
417,word_417,,actions,3,,
418,word_418,,travel,3,,
419,word_419,,health,3,,
420,word_420,,polite,3,,
421,word_421,,greetings,3,,
422,word_422,,family,3,,
423,word_423,,food,3,,
424,word_424,,school,3,,
425,word_425,,numbers,3,,
426,word_426,,colors,3,,
427,word_427,,actions,3,,
428,word_428,,travel,3,,
429,word_429,,health,3,,
430,word_430,,polite,3,,
431,word_431,,greetings,3,,
432,word_432,,family,3,,
433,word_433,,food,3,,
434,word_434,,school,3,,
435,word_435,,numbers,3,,
436,word_436,,colors,3,,
437,word_437,,actions,3,,
438,word_438,,travel,3,,
439,word_439,,health,3,,
440,word_440,,polite,3,,
441,word_441,,greetings,3,,
442,word_442,,family,3,,
443,word_443,,food,3,,
444,word_444,,school,3,,
445,word_445,,numbers,3,,
446,word_446,,colors,3,,
447,word_447,,actions,3,,
448,word_448,,travel,3,,
449,word_449,,health,3,,
450,word_450,,polite,3,,
451,word_451,,greetings,3,,
452,word_452,,family,3,,
453,word_453,,food,3,,
454,word_454,,school,3,,
455,word_455,,numbers,3,,
456,word_456,,colors,3,,
457,word_457,,actions,3,,
458,word_458,,travel,3,,
459,word_459,,health,3,,
460,word_460,,polite,3,,
461,word_461,,greetings,3,,
462,word_462,,family,3,,
463,word_463,,food,3,,
464,word_464,,school,3,,
465,word_465,,numbers,3,,
466,word_466,,colors,3,,
467,word_467,,actions,3,,
468,word_468,,travel,3,,
469,word_469,,health,3,,
470,word_470,,polite,3,,
471,word_471,,greetings,3,,
472,word_472,,family,3,,
473,word_473,,food,3,,
474,word_474,,school,3,,
475,word_475,,numbers,3,,
476,word_476,,colors,3,,
477,word_477,,actions,3,,
478,word_478,,travel,3,,
479,word_479,,health,3,,
480,word_480,,polite,3,,
481,word_481,,greetings,3,,
482,word_482,,family,3,,
483,word_483,,food,3,,
484,word_484,,school,3,,
485,word_485,,numbers,3,,
486,word_486,,colors,3,,
487,word_487,,actions,3,,
488,word_488,,travel,3,,
489,word_489,,health,3,,
490,word_490,,polite,3,,
491,word_491,,greetings,3,,
492,word_492,,family,3,,
493,word_493,,food,3,,
494,word_494,,school,3,,
495,word_495,,numbers,3,,
496,word_496,,colors,3,,
497,word_497,,actions,3,,
498,word_498,,travel,3,,
499,word_499,,health,3,,
500,word_500,,polite,3,,
